CSF	WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	NonSteadyStateOutlier00	X	Y	Z	RotX	RotY	RotZ	AROMAAggrComp01	AROMAAggrComp02	AROMAAggrComp03	AROMAAggrComp04	AROMAAggrComp05	AROMAAggrComp07	AROMAAggrComp08	AROMAAggrComp09	AROMAAggrComp11	AROMAAggrComp14
964.6138523060459	768.2280715660492	783.3850719904243	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.9678678323	1.072296567	0.8273176632	0.3955307264	-0.009724348986	0.5197197772	0.5164624954	3.024526628	3.291864961	3.873419958
955.6973329733004	769.0003951042453	780.9590108869844	1.02346241	30.25894547	0.99890202	0.049449105	-0.0495016104	-0.08978771640000001	0.0999810184	0.0242539937	-0.0016107112	0.09112619359999999	-0.026086337799999998	0.06263511690000001	-0.1944134598	0.0715836391	-0.1966343794	0.1831058285	0.1393303988	0.0	0.00629813	-0.00512682	-0.0273007	-1.9357e-05	-7.462709999999998e-05	0.000120485	1.176262783	0.4795025125	-0.6103023238	0.8088153812	1.464875579	0.1565087887	1.324889707	0.9707364109	3.554060849	1.557724795
954.1799778850225	769.7097265999057	781.055591312732	0.9995752	29.55271149	0.94839203	0.15925130499999998	0.1179936358	-0.0685827276	0.10849434210000002	0.15186871	0.1130102925	-0.1348835524	-0.1491968741	-0.0590097975	-0.1094209618	0.14990455119999999	0.011927823600000002	0.141468228	0.1392007891	0.0	-0.0285087	0.0127968	0.0144619	-0.0008987999999999998	0.000118542	0.000343038	1.159030842	-0.3966454773	1.573008588	0.8149954114	1.953414767	1.37079322	0.53287675	0.3090790761	1.560205579	1.322248082
954.7783728843781	769.1016719936073	780.6487894221926	0.98617959	29.15666771	0.9735626	0.102016585	0.1132729201	0.09729205689999999	0.1473661168	-0.053873678	0.18674385100000002	0.029210674	-0.025294629199999998	-0.12472544869999999	-0.11589032310000001	-0.0959345231	0.08888756460000001	0.12910105289999999	0.1389416903	0.0	-0.0200313	-0.0205632	0.00694529	6.25715e-05	0.000201163	0.000333779	1.122401125	-1.007067067	-0.1783838208	0.640230445	0.5787649686	1.097705845	0.9090360109	0.1883468925	1.249724109	0.5131481755
952.4734743631416	768.0261961782937	779.8100284910472	0.99596375	29.44593811	0.96388644	0.082708035	-0.050171207999999995	0.09166972820000001	0.1418731176	0.0984341667	0.0189132404	0.11324745630000001	0.0777512887	-0.0427652785	-0.1198800635	0.0819560689	-0.10363932960000001	0.010508365300000001	0.1385533433	0.0	-0.0176504	0.0104199	0.0128837	-0.000520266	-0.0	0.000417891	1.337554086	0.7642620039	-0.3416757273	1.070448823	0.01576884709	-0.5828627715	1.594561837	0.1174819748	1.518234971	0.8869086114
950.7270026875098	769.8883892184369	779.1151121948503	0.99617738	29.45225525	0.97672307	0.11446265	-0.0167310349	-0.10223194890000001	0.0665981665	-0.027818946299999998	0.021035184300000002	0.1330969776	-0.08659430359999999	0.1303935132	-0.0565836937	-0.029595815600000002	0.1151749337	-0.033057817999999996	0.1380361095	0.0	-0.0106583	-0.0110453	0.0612322	-0.000520266	-0.000604291	0.000269045	1.362197911	1.248971443	-0.4170257665	0.8279589661	1.245986207	-0.3676848917	-0.972701966	1.34028265	0.237316116	1.370539487
952.4174506262603	769.4666266711254	778.8762994591459	1.02344763	30.25850868	0.97274101	0.07143744	0.16228319300000002	-0.0444679675	0.0085504866	0.0778421467	0.0806510068	0.1377370086	-0.1494303615	-0.0488608187	-0.1215217025	0.0102956057	0.004050367	-0.1281805571	0.13739047	0.0	-0.0170043	-0.00635936	0.0335475	-0.000868375	-0.000873445	0.000231892	1.173754028	-0.3912327698	-1.078734917	1.427613616	1.606997603	1.748360677	0.9887730053	0.454579466	-0.1418730356	0.3449749
949.9219689171837	767.8944408541173	777.690184317616	1.01856279	30.11408424	0.99087626	0.060690580000000015	0.0909050134	0.16417925	-0.0076960994	0.0845279534	0.17610776460000002	0.0663835951	0.0469046775	-0.2450448469	-0.0405242331	0.0809688644	0.115768919	-0.1289753232	0.13661702539999998	0.0	-0.0262775	-0.00522368	0.07103370000000002	-0.00106648	-0.000821391	0.000237643	1.283310131	-0.7082993634	1.346664227	1.313948146	-0.6082083843	0.3942808103	0.6301470969	1.268333979	-0.8857854592	-0.07770441045
946.915373091514	766.6676838528401	777.1641623493973	1.00521588	29.71948051	0.99077243	0.06026097	-0.11020168890000001	0.0328551371	0.0509748575	-0.1242848631	0.2159195596	0.1064517942	0.12602668890000002	0.0227655804	-0.1601064231	-0.169479486	0.0120578952	0.0707714835	0.1357164951	0.0	-0.0312083	-0.017398	0.0595072	-0.00152712	-0.0007296139999999998	0.000157473	1.082809501	-0.4787874441	-1.239846986	1.152217549	-1.278281236	-0.5684958004	-0.1896236493	1.345511918	0.3191707989	0.352774985
945.4064215637686	768.4051021135555	778.4117203998024	0.98426485	29.1000576	0.97413808	0.0750113	-0.11854001300000001	-0.0046519358000000005	0.13125820289999998	0.0369271953	0.1665307834	-0.07263987599999999	0.071180115	0.0114722598	-0.1779888093	0.0675945236	-0.08775645210000001	-0.0358808523	0.1346897169	0.0	-0.0284251	-0.0123061	0.0437776	-0.00238395	-0.000627401	0.000226562	1.258062866	0.3804646276	-0.05415046183	1.206077465	-0.264008756	-1.281698567	-0.7624461252	-0.954770246	1.755456218	1.280648233
952.9508034335298	770.4399800663042	781.2919761760487	1.05782163	31.27478218	1.00250304	0.09536825	0.0409104043	-0.1309926652	0.19714104329999999	0.0007554597999999999	0.10521128490000001	-0.1407690284	-0.1263138256	0.0379102228	-0.142302334	-0.0058910520999999995	0.0862699025	0.1566328724	0.133537646	0.0	-0.0183843	-0.0171232	0.0752552	-0.00172136	-0.000907706	0.000188802	1.243009576	-0.7255210708	0.04468454056	0.7936150712	1.610115012	-0.3351360584	-1.875712417	0.5328593266	0.5057887057	-0.09133876035
956.1991895089816	771.1904771124713	780.7024583531273	1.02301037	30.24558067	0.99043208	0.08146259999999998	0.1908702423	0.0306522164	0.08122848790000001	0.004303262800000001	-0.004317306	0.0005061585	-0.170549968	-0.1205060278	-0.0607274309	0.0018733924	-0.1219631942	0.1684691761	0.13226135390000002	0.0	-0.0255188	-0.0175438	0.0355372	-0.00115826	-0.000863348	0.00011247	1.41615877	-0.6289770556	-0.3585741334	0.6443032649	1.270764404	1.581356351	1.152667377	-0.8791265702	0.328572693	-0.3147476658
950.9032041721637	768.6991895142536	779.6063481105223	1.02828622	30.40155983	1.00205958	0.06492761000000001	0.0129933132	0.18205164140000002	0.0783473975	0.1045743562	-0.0295311725	0.0948955852	0.067448577	-0.1293010445	-0.0566213625	0.0835904629	0.1434712436	0.0689655038	0.13086202800000002	0.0	-0.0254613	0.00183926	0.0583096	-0.00150858	-0.000936328	0.000143463	1.319760988	-0.3181938255	1.401748916	0.9805633353	-0.7097872589	0.3619577325	0.6720150642	1.569125134	-0.1447686291	-0.5622224458
948.7906310403416	767.6702178914154	778.357726751493	1.02120602	30.19223213	0.99800205	0.11462766	-0.0838526929	0.0083423842	0.021633596499999998	-0.1141992938	-0.0579352074	0.0461618623	0.059336147400000004	0.015285338	-0.054274635099999996	-0.0379907657	-0.0403602771	0.007690204	0.1293409699	0.0	-0.0225436	-0.0393934	0.0643637	-0.000767781	-0.00134053	2.1175799999999998e-22	1.454794889	0.3165656262	-1.295416681	0.3490910622	-0.6855300858	-1.099049636	1.302359621	0.3595616163	-0.1839021588	0.03168311224
948.3371462189431	770.9547608303183	778.9270867580102	1.03802931	30.68961716	0.99492985	0.13546718000000002	-0.043737919800000004	-0.1032668089	-0.021303098399999998	0.1734372863	0.041060653100000004	0.0611465484	-0.0604009395	0.0622610945	-0.0759048239	0.216950607	0.0041792088	-0.067669375	0.1276995947	0.0	-0.0267015	-0.007317869999999998	0.0962748	-0.00169369	-0.00106775	0.000147764	1.746757507	1.119536605	1.466564624	0.3446691724	1.137206164	-1.17957658	-0.1830835818	0.1147131247	-0.3522384221	0.922874031
951.3542635756853	768.6688782192429	778.2418181340843	1.09605515	32.40516663	1.00740647	0.08499671000000002	0.1491721707	-0.07777901820000001	-0.041889197999999996	-0.09078613630000001	-0.0083811319	0.0510726862	-0.12932297310000002	-0.05190899400000001	-0.0051275863	-0.1007042716	-0.0237387829	-0.045750375700000005	0.1259394291	0.0	-0.0368176	-0.0363088	0.0941938	-0.00106596	-0.00122244	5.40104e-05	1.24576294	-1.109285565	-1.299116839	0.119781382	1.011180465	1.388800687	0.4406312586	0.591128654	-1.45431778	1.384509325
949.4693381161645	768.0695542097559	778.1879680746698	1.04256284	30.82365227	0.99809706	0.15069590000000002	0.053618168099999995	0.1526663148	-0.0748391938	0.12060644279999999	-0.0335169842	0.1013491959	0.0402889921	-0.1561630605	0.0657109374	0.11010810630000001	0.09484544060000001	-0.0768623615	0.1240621105	0.0	-0.0329265	-0.00549173	0.117411	-0.00276578	-0.00112626	0.000113421	1.70358073	-0.3392505488	1.747893536	0.2054091941	-0.8915171098	0.3816642349	0.3929040033	-1.078066621	0.1811141243	0.4742782825
945.938954511474	767.4329973510282	778.1625870948476	1.00625789	29.7502861	0.99111962	0.14105562	-0.1076358316	0.0043295191	-0.07146360759999999	-0.1811073782	0.1086706682	0.0123690994	0.0920758593	0.0185575045	-0.10453382800000001	-0.1666181286	0.035625624	0.1005882885	0.1220693853	0.0	-0.0338073	-0.0408858	0.09325580000000003	-0.00143186	-0.0012914300000000003	0.0	1.424339619	-0.3834562148	-0.9889824441	0.104076741	-1.240304659	-0.6692293368	-0.253824036	1.705985762	0.1169708267	1.431109998
948.1788450014392	769.5069270273527	779.5398847519638	1.05960608	31.32753944	1.00128591	0.17505216999999998	-0.0775944741	-0.033567751800000004	-0.0283238164	0.1527061765	0.18284053690000002	0.1440351809	0.0046665589	0.0081625335	-0.1902887067	0.12944400550000001	-0.049474976600000005	-0.20443842739999998	0.11996310710000001	0.0	-0.0267644	-0.0035515	0.016527799999999995	-0.00192364	-0.000781103	7.68324e-05	1.355459913	2.214866977	-0.8395579108	1.150361182	-0.4394443146	-0.9539694619	0.8253899332	-0.1121019109	1.793297997	0.9646355338
950.3831740828113	770.1020037194729	779.6254083634309	1.09580624	32.39780807	0.99332404	0.09026701	0.1359619258	-0.060684702699999996	0.030323972	0.0315786356	0.18067314399999998	0.0870815928	-0.1396228314	-0.0713902285	-0.1557209141	0.0133502	0.054984533700000005	-0.021895491	0.11774523529999999	0.0	-0.0240053	-0.025903	0.00787968	-0.000917695	-0.00066211	8.206019999999998e-05	0.9049589208	-0.6674858278	-0.9371692038	1.51657406	1.229835757	0.6027106192	-0.124198724	0.3599487424	0.1233818341	0.6158856698
950.001973546315	769.1680363274763	778.94114439253	1.02626908	30.34192467	1.00563276	0.14409315999999997	0.0949299923	0.12314031199999999	-0.0193987204	0.0437473737	-0.1074132925	-0.0093733689	-0.0334287042	-0.2165966467	0.0469882453	0.0118624019	-0.104128705	0.0050033287	0.11541783300000001	0.0	-0.0409091	0.0154926	0.0559446	-0.0010981500000000002	-0.00106592	0.000252372	1.111798714	-0.2399479929	0.1657691619	0.3751294098	-0.0984470493	0.7758877312	2.550498544	-0.2128888131	-0.5504229339	1.012125108
946.0320768936307	768.6233473703313	777.9058407629035	1.02896416	30.42160606	1.01114464	0.08761755	-0.0837710163	0.056844795	-0.027729091400000003	-0.18012972870000002	0.1090880526	0.06525196330000001	0.08868783050000001	-0.0362854503	-0.17728196579999997	-0.1461084345	0.1496312942	0.0050926994	0.11298306529999999	0.0	-0.0451666	-0.0187242	0.08363479999999998	-0.00102607	-0.00128193	0.00011140100000000003	1.117827254	-0.6726361893	-0.3517636119	0.3401689107	-1.118253938	-0.1452585236	-0.8898468588	0.9178521887	-0.0599529426	-0.7771042001
944.535901510759	767.641715638988	777.9156057463588	1.0266999	30.35466003	0.99430877	0.08591823999999999	-0.1215777142	-0.0202607873	-0.08053361740000001	0.0680844837	-0.014380501799999999	0.00869039	0.0781978502	0.07828538410000001	-0.0629176135	0.0573134071	-0.17334273890000002	-0.0835234673	0.11044319710000002	0.0	-0.042427	-0.00860481	0.0582514	-0.00155859	-0.000972334	0.0	1.205925567	1.197081881	-0.6152132234	0.4009819247	-0.3548914888	-1.125441878	1.244238497	-0.6678499624	0.3977920073	1.080324606
948.1100109588688	769.7399199138785	777.7049767894299	1.08764386	32.15648651	1.01963067	0.06488065999999999	0.025959312400000004	-0.1457252748	-0.06551876570000001	-0.0056096779	0.1455056152	0.030919295299999996	-0.1025720841	0.10331404470000001	-0.0047734784	-0.0316311127	0.2615089661	-0.0593719038	0.107800591	0.0	-0.0444448	-0.00855615	0.109758	-0.00153633	-0.000921571	0.000153129	1.187017713	-0.07848529143	0.4290089572	0.3198151357	1.24276956	-0.5750500313	-2.00598867	1.216195232	-1.462876754	0.7270333157
949.8064712010896	770.2420963703337	777.7646375067043	1.05797458	31.2793045	1.00948203	0.0694236	0.12589594310000002	0.0235049533	-0.1538981206	-0.0198016559	-0.060843742199999995	0.0430722767	-0.14304221609999998	-0.10555639970000001	-0.013570661000000001	-0.0245900031	-0.09930991060000001	-0.06881221530000001	0.10505770519999999	0.0	-0.0439492	-0.0227187	0.0729618	-0.00166576	-0.000998397	0.0	1.2773959	-0.7063139758	-1.156307066	0.2779543041	0.7073198523	1.625112731	1.168413767	-0.4376690429	-0.6405150762	2.203887765
947.0334328687463	768.2564558374393	777.8231861138989	1.02935827	30.43325615	1.00507438	0.09741325000000002	-0.026472989500000002	0.1441603588	-0.0857173457	0.023057997200000003	0.0639590159	0.0198062531	0.11624940660000001	-0.0999072402	0.0456238196	-0.0182681764	0.1523609812	0.0143899157	0.10221709130000001	0.0	-0.0391417	-0.00325125	0.110147	-0.0013758	-0.00127505	0.000152449	1.116849766	-0.7755969129	1.035899606	0.06099983398	-1.015093279	0.03572026376	-0.6178080849	1.583671373	9.025944407e-05	1.051086142
945.0819279804567	768.7626141539273	778.57616816443	0.99999166	29.56502533	0.98825091	0.1447874	-0.1345689607	0.0256030387	-0.0604510237	-0.1080877907	0.02613966	0.0081633699	0.0903946536	0.022525564300000002	-0.0598892946	-0.0816090672	-0.1672462184	-0.038064284500000004	0.0992813917	0.0	-0.0389543	-0.0315294	0.0330074	-0.000658269	-0.00133863	0.000154983	0.8514875042	-0.02713797273	-1.625855866	0.3478453113	-0.6290224609	-1.034665416	1.209654516	0.5317074432	1.666147905	0.5487481353
949.1753159799847	769.0808286768952	778.5943926924208	1.06543171	31.49977875	1.01717103	0.13300293	-0.0179963293	-0.1055275942	0.0164927306	0.1352919521	-0.0097766886	-0.0974579075	-0.046538419299999995	0.0724801717	0.0028661104	0.11392967779999999	0.1400802092	-0.0063409211	0.0962533374	0.0	-0.0398017	-0.00952857	0.106836	-0.00111528	-0.00143302	0.000330104	0.5081189703	0.9549579055	1.52574876	-0.2627571651	1.29124992	-1.285790727	-0.9163606588	1.479912887	-0.7887774134	0.6568606587
949.2267280068179	768.3330943533682	777.4517802941	1.10828924	32.76687241	1.03050613	0.07158828	0.1465703851	-0.021499435600000002	-0.0024119591	-0.1908450419	-0.10996910630000001	0.0579045636	-0.12427180019999999	-0.027530166499999998	0.1223059341	-0.22206371170000003	-0.1180026099	-0.0353865991	0.093135745	0.0	-0.0481924	-0.00929884	0.118213	-0.000622536	-0.00175709	0.000115101	0.5418222831	-1.03061797	-1.549440036	-1.190083345	0.8601796124	1.920099981	0.5917359128	0.3530244561	-0.6028469034	-0.3287351723
945.8642106478792	766.7835608956536	776.5258871804458	1.07246768	31.707798	1.01866317	0.05293398999999998	-0.044211264699999996	0.1714091727	0.0490263252	0.1590672374	-0.11487076210000001	-0.035237796	0.1803444901	-0.0809225428	0.0925386677	0.1380923868	0.0423534643	0.0333115409	0.0899315147	0.0	-0.0503057	-0.0022801	0.111945	-0.000978716	-0.00157561	0.00032812	0.4686309842	-0.250533074	1.408374227	-0.8320283398	-0.5824501536	-0.4672839882	1.064340789	-0.187485514	0.4908280459	-1.502896027
945.7540420189513	767.6484208946463	777.3138687898918	1.06264722	31.41745377	1.02230465	0.08887999999999999	-0.09495701710000001	-0.0719690205	0.0587333829	-0.2014576756	-0.08526462509999999	-0.021785980400000002	0.0740853403	0.1484048075	7.779810000000001e-05	-0.17239120309999997	-0.0706318237	-0.0174556303	0.08664362710000001	0.0	-0.0483036	-0.0341642	0.12223800000000003	-0.000466723	-0.00173053	0.000101017	0.5939313624	0.9487598781	-1.717993268	-1.255754643	-0.428897106	-0.2019330843	-1.002579129	0.6716172312	-0.0255347655	-0.4611731151
947.7695642748723	768.9656693520623	776.9330428815344	1.04390419	30.86330986	1.00411487	0.08654059999999998	0.013916346100000001	-0.1475245197	0.0029524224	0.0966388197	-0.0095294619	-0.1722202064	-0.0848577989	0.0874412038	0.047043307400000005	0.11177627220000001	-0.0663585404	-0.15412342140000002	0.0832751408	0.0	-0.0552948	-0.0128198	0.145687	-0.00107105	-0.00177342	5.3114e-05	1.033582302	-0.1740198086	0.6217537517	-1.334149518	1.488813216	-0.3348169547	-0.4362782035	-1.222862665	-1.444184413	-0.2278894606
947.4613654003967	767.4947505926633	777.2055905615231	1.03301203	30.54128265	0.9997161	0.06758725000000002	0.0769830123	0.026814290499999997	-0.0544885733	-0.1685628388	0.0280441338	-0.1560455333	-0.024713002	-0.025684252299999998	0.072104159	-0.2153076897	0.0250942556	0.0164236348	0.07982918929999999	0.0	-0.0572214	-0.0183266	0.122267	-0.0007479719999999999	-0.001503	0.000194293	0.7473797249	-1.20142972	-0.7822408784	-1.243239517	-0.1429620206	1.584685089	-0.9670638659	1.194312476	-0.7090290272	-0.2833310021
942.9089243665967	767.3510300248845	776.8963742190073	1.03786075	30.68463516	0.99538064	0.08906625000000001	-0.1294375311	0.1336765478	-0.05504897190000001	0.1196485963	-0.06862169809999999	-0.0292277721	0.1826418772	-0.0417901742	-0.0116096206	0.1364864946	-0.0687487024	-0.13900605189999998	0.076308978	0.0	-0.0560551	-0.0259988	0.0714883	-0.00114139	-0.00150173	0.0	0.9931283741	-0.4203150053	0.04498735982	-0.5567919014	-1.07274268	-0.9024544401	0.3005129384	-0.6817321384	0.8287169173	0.02140407336
